City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,Sola,-13.8833,167.55,81.12,73,4,10.63,VU,2022-09-26 22:56:45
169,Luderitz,-26.6481,15.1594,54.05,84,0,4.61,NA,2022-09-26 22:56:46
170,Mahebourg,-20.4081,57.7,71.89,64,40,11.5,MU,2022-09-26 22:56:46
171,Letlhakane,-21.4167,25.5833,74.41,20,0,9.6,BW,2022-09-26 22:56:46
172,Airai,-8.9266,125.4092,67.66,52,32,0.78,TL,2022-09-26 22:56:47
173,Miles City,46.4083,-105.8406,78.28,24,36,13.49,US,2022-09-26 22:56:47
174,Lompoc,34.6391,-120.4579,87.01,74,40,12.66,US,2022-09-26 22:52:44
175,Tasiilaq,65.6145,-37.6368,35.53,89,100,4.5,GL,2022-09-26 22:56:47
176,Pafos,34.7667,32.4167,64.18,52,0,5.75,CY,2022-09-26 22:56:18
177,Ilulissat,69.2167,-51.1,36.27,100,100,4.65,GL,2022-09-26 22:56:48
178,Consuegra,39.4625,-3.608,61.38,37,3,9.62,ES,2022-09-26 22:56:48
179,Cabimas,10.3883,-71.4399,84.56,73,73,7.11,VE,2022-09-26 22:56:48
180,Hualmay,-11.0964,-77.6139,62.47,79,20,10.74,PE,2022-09-26 22:56:49
181,Hammerfest,70.6634,23.6821,46.85,76,20,5.75,NO,2022-09-26 22:56:49
182,Flin Flon,54.7682,-101.865,58.84,47,40,4.61,CA,2022-09-26 22:56:49
183,Vostok,46.4856,135.8833,48.81,68,23,3.31,RU,2022-09-26 22:57:50
184,Soma,39.1855,27.6094,59.68,44,98,3.04,TR,2022-09-26 22:57:50
185,Ascoli Piceno,42.8548,13.5749,64.26,90,71,1.99,IT,2022-09-26 22:57:50
186,Sao Filipe,14.8961,-24.4956,77.43,76,52,6.35,CV,2022-09-26 22:57:51
187,Tungawan,7.5081,122.3711,80.06,83,85,4.9,PH,2022-09-26 22:57:51
188,Port Elizabeth,-33.918,25.5701,62.1,97,100,17.27,ZA,2022-09-26 22:57:51
189,Novyy Urengoy,66.0833,76.6333,29.25,73,98,14.05,RU,2022-09-26 22:57:52
190,Athabasca,54.7169,-113.2854,72.01,40,37,1.9,CA,2022-09-26 22:57:52
191,Porosozero,62.7191,32.727,42.26,97,100,5.17,RU,2022-09-26 22:57:52
192,Zunyi,27.6867,106.9072,65.32,84,98,2.91,CN,2022-09-26 22:57:53
193,Phan Thiet,10.9333,108.1,76.37,84,100,10.8,VN,2022-09-26 22:57:53
194,Ostrovnoy,68.0531,39.5131,37.63,81,100,7.36,RU,2022-09-26 22:57:53
195,Ambon,-3.6954,128.1814,75.34,94,40,5.75,ID,2022-09-26 22:57:54
196,Saint Anthony,45.0205,-93.218,62.82,41,40,12.66,US,2022-09-26 22:57:54
197,Natal,-5.795,-35.2094,80.82,74,40,13.8,BR,2022-09-26 22:52:58
198,Upernavik,72.7868,-56.1549,33.58,73,28,5.86,GL,2022-09-26 22:57:54
199,East London,-33.0153,27.9116,66.18,92,100,19.08,ZA,2022-09-26 22:53:38
200,Kurchum,48.5722,83.6542,64.49,34,100,5.59,KZ,2022-09-26 22:57:55
201,Thaba-Tseka,-29.522,28.6084,57.56,50,28,2.66,LS,2022-09-26 22:57:55
202,Lorengau,-2.0226,147.2712,84.96,66,60,8.43,PG,2022-09-26 22:57:55
203,Namibe,-15.1961,12.1522,65.35,70,69,5.17,AO,2022-09-26 22:57:56
204,Pombia,45.653,8.6336,59.04,82,40,2.3,IT,2022-09-26 22:57:56
205,Rancho Palos Verdes,33.7445,-118.387,97.09,72,3,14.0,US,2022-09-26 22:57:56
206,Kalmunai,7.4167,81.8167,77.68,83,56,4.63,LK,2022-09-26 22:57:57
207,Norman Wells,65.282,-126.8329,41.04,93,75,3.44,CA,2022-09-26 22:57:57
208,Falmouth,50.1544,-5.0711,58.1,71,100,13.8,GB,2022-09-26 22:57:57
209,Bireun,5.203,96.7009,77.49,79,100,3.56,ID,2022-09-26 22:57:58
210,Trairi,-3.2778,-39.2689,78.64,82,61,12.97,BR,2022-09-26 22:55:05
211,Westport,41.1415,-73.3579,70.93,80,100,23.02,US,2022-09-26 22:53:04
212,Dingle,10.9995,122.6711,78.28,90,99,7.58,PH,2022-09-26 22:57:58
213,Baykit,61.67,96.37,24.42,90,66,1.14,RU,2022-09-26 22:57:58
214,Alihe,50.5667,123.7167,37.35,67,82,3.33,CN,2022-09-26 22:57:59
215,Hun,29.1268,15.9477,84.0,27,0,10.94,LY,2022-09-26 22:57:59
216,Binzhou,37.3667,118.0167,63.25,70,53,2.53,CN,2022-09-26 22:57:59
217,Constitucion,-35.3333,-72.4167,52.29,85,98,8.7,CL,2022-09-26 22:58:00
218,Fort Nelson,58.8053,-122.7002,71.73,40,98,6.46,CA,2022-09-26 22:58:00
219,Hastings,50.8552,0.5729,51.8,80,41,18.66,GB,2022-09-26 22:58:00
220,Yining,29.0361,114.5636,68.77,76,76,2.06,CN,2022-09-26 22:58:01
221,Raga,8.4596,25.678,67.08,95,100,3.69,SS,2022-09-26 22:58:01
222,Diego De Almagro,-26.3667,-70.05,61.9,27,1,5.82,CL,2022-09-26 22:58:01
223,Mizdah,31.4451,12.9801,79.52,25,49,6.78,LY,2022-09-26 22:58:02
224,Kavieng,-2.5744,150.7967,84.7,66,83,13.76,PG,2022-09-26 22:58:02
225,Neiafu,-18.65,-173.9833,74.08,94,75,5.75,TO,2022-09-26 22:58:02
226,Vila Velha,-20.3297,-40.2925,73.35,86,75,9.22,BR,2022-09-26 22:58:03
227,Otse,-25.0167,25.7333,69.01,25,0,4.09,BW,2022-09-26 22:58:03
228,Doha,25.2867,51.5333,85.98,70,0,11.5,QA,2022-09-26 22:58:04
229,Greytown,-29.0642,30.5928,62.24,90,80,5.66,ZA,2022-09-26 22:58:04
230,Ongole,15.5,80.05,79.72,76,100,6.76,IN,2022-09-26 22:59:04
231,Kailua,21.4022,-157.7394,85.14,65,75,9.22,US,2022-09-26 22:59:05
232,Ejura,7.3856,-1.3562,68.74,98,100,3.0,GH,2022-09-26 22:59:05
233,Aketi,2.7388,23.7833,70.74,99,100,2.1,CD,2022-09-26 22:59:05
234,Benguela,-12.5763,13.4055,70.9,82,92,4.23,AO,2022-09-26 22:59:06
235,Dalianwan,39.0286,121.695,57.24,100,0,0.0,CN,2022-09-26 22:59:06
236,Abu Dhabi,24.4667,54.3667,87.82,87,20,2.3,AE,2022-09-26 22:54:57
237,Timizart,36.8,4.2667,67.33,76,94,6.82,DZ,2022-09-26 22:59:06
238,Eyl,7.9803,49.8164,77.29,81,42,16.53,SO,2022-09-26 22:59:07
239,Sidi Ali,36.0998,0.4206,66.43,71,58,8.16,DZ,2022-09-26 22:59:07
240,Rauma,61.1272,21.5113,48.24,81,99,14.16,FI,2022-09-26 22:59:07
241,Ilhabela,-23.7781,-45.3581,67.24,95,99,3.51,BR,2022-09-26 22:56:03
242,Fallon,39.4735,-118.7774,89.46,15,5,4.38,US,2022-09-26 22:59:08
243,Shache,38.4167,77.2406,64.71,25,0,5.55,CN,2022-09-26 22:59:08
244,Temir,49.1414,57.13,52.52,57,89,8.34,KZ,2022-09-26 22:59:09
245,Ahuimanu,21.4447,-157.8378,84.85,64,75,14.97,US,2022-09-26 22:59:09
246,Hinova,44.5406,22.7769,59.27,95,100,2.39,RO,2022-09-26 22:59:09
247,Abrau-Dyurso,44.69,37.59,56.66,73,64,10.11,RU,2022-09-26 22:59:10
248,Longyearbyen,78.2186,15.6401,42.64,75,40,2.3,SJ,2022-09-26 22:59:10
249,Labytnangi,66.6572,66.4183,26.42,81,39,6.76,RU,2022-09-26 22:59:11
250,Faya,18.3851,42.4509,66.31,29,1,5.55,SA,2022-09-26 22:59:11
251,Suntar,62.1444,117.6319,27.12,84,56,4.83,RU,2022-09-26 22:59:11
252,Port Macquarie,-31.4333,152.9167,68.9,70,58,2.13,AU,2022-09-26 22:59:12
253,Saldanha,-33.0117,17.9442,50.05,85,6,6.38,ZA,2022-09-26 22:59:12
254,Port Hardy,50.6996,-127.4199,62.78,77,40,4.61,CA,2022-09-26 22:59:12
255,Tigil,57.8,158.6667,45.64,62,50,13.96,RU,2022-09-26 22:59:13
256,Lonar,19.9833,76.5333,70.39,88,85,7.47,IN,2022-09-26 22:59:13
257,Ambanja,-13.6833,48.45,72.43,79,68,1.95,MG,2022-09-26 22:54:20
258,Sorland,67.667,12.6934,51.13,74,91,29.57,NO,2022-09-26 22:59:13
259,Rapid Valley,44.0625,-103.1463,80.76,27,29,18.01,US,2022-09-26 22:59:14
260,Barra Patuca,15.8,-84.2833,82.06,77,100,11.77,HN,2022-09-26 22:59:14
261,Macaparana,-7.5547,-35.4531,67.17,88,25,7.87,BR,2022-09-26 22:59:14
262,Allapalli,19.4167,80.0667,73.53,97,100,1.81,IN,2022-09-26 22:59:15
263,Broome,42.2506,-75.833,58.01,88,40,10.36,US,2022-09-26 22:59:15
264,Nanortalik,60.1432,-45.2371,44.92,93,100,13.06,GL,2022-09-26 22:59:16
265,Misratah,32.3754,15.0925,82.42,63,97,8.9,LY,2022-09-26 22:59:16
266,Bethel,41.3712,-73.414,68.54,78,71,6.11,US,2022-09-26 22:59:16
267,Marawi,7.9986,124.2928,73.78,76,97,4.43,PH,2022-09-26 22:59:17
268,Kieta,-6.2167,155.6333,84.13,70,94,3.53,PG,2022-09-26 22:59:17
269,Mount Gambier,-37.8333,140.7667,54.63,68,40,10.02,AU,2022-09-26 22:59:17
270,Buncrana,55.1333,-7.45,51.73,75,99,18.19,IE,2022-09-26 22:59:17
271,Xingyi,24.1877,102.817,59.27,93,71,2.51,CN,2022-09-26 22:59:18
272,Huarmey,-10.0681,-78.1522,63.14,80,41,8.97,PE,2022-09-26 22:59:18
273,Fatehabad,29.5167,75.45,76.24,81,0,3.13,IN,2022-09-26 22:59:19
274,Sorong,-0.8833,131.25,78.33,86,100,6.49,ID,2022-09-26 23:00:19
275,Hami,42.8,93.45,67.95,23,4,7.65,CN,2022-09-26 23:00:19
276,Majene,-3.5403,118.9707,76.82,77,99,5.61,ID,2022-09-26 23:00:20
277,Santa Vitoria Do Palmar,-33.5189,-53.3681,58.86,90,15,4.97,BR,2022-09-26 22:59:17
278,Biu,10.6129,12.1946,69.28,89,60,3.96,NG,2022-09-26 23:00:21
279,Jizan,17.3333,42.6667,89.96,51,43,4.65,SA,2022-09-26 23:00:21
280,Jiaocheng,24.6774,116.1389,76.64,75,25,1.59,CN,2022-09-26 23:00:22
281,Rio Gallegos,-51.6226,-69.2181,43.02,59,31,25.14,AR,2022-09-26 23:00:22
282,Kholm,59.2667,32.85,43.97,95,100,3.31,RU,2022-09-26 23:00:22
283,Oudtshoorn,-33.5907,22.2014,55.76,85,57,1.48,ZA,2022-09-26 23:00:23
284,Palmer,42.1584,-72.3287,66.65,80,75,5.75,US,2022-09-26 22:58:49
285,Hovd,48.0056,91.6419,55.58,37,85,8.88,MN,2022-09-26 23:00:24
286,Ola,59.5833,151.2833,42.06,59,78,9.71,RU,2022-09-26 23:00:24
287,Talaya,61.3833,152.75,30.27,69,74,3.58,RU,2022-09-26 23:00:24
288,Hobyo,5.3505,48.5268,76.3,89,58,17.47,SO,2022-09-26 23:00:25
289,Hithadhoo,-0.6,73.0833,81.73,74,65,14.63,MV,2022-09-26 23:00:25
